index,group,name,path,auth_context,local_url,status,final_url,prod_url,staging_url,screenshot,error
1,public,Home,/,anon,http://localhost:8081/,200,http://localhost:8081/,https://milon.madrasafree.com/,https://dev-milon.madrasafree.com/,screenshots/01_public_home.png,
2,public,Default ASP,/default.asp,anon,http://localhost:8081/default.asp,200,http://localhost:8081/default.asp,https://milon.madrasafree.com/default.asp,https://dev-milon.madrasafree.com/default.asp,screenshots/02_public_default-asp.png,
3,public,Default Min,/default.min.asp,anon,http://localhost:8081/default.min.asp,200,http://localhost:8081/default.min.asp,https://milon.madrasafree.com/default.min.asp,https://dev-milon.madrasafree.com/default.min.asp,screenshots/03_public_default-min.png,
4,public,About,/about.asp,anon,http://localhost:8081/about.asp,200,http://localhost:8081/about.asp,https://milon.madrasafree.com/about.asp,https://dev-milon.madrasafree.com/about.asp,screenshots/04_public_about.png,
5,public,Guide,/guide.asp,anon,http://localhost:8081/guide.asp,200,http://localhost:8081/guide.asp,https://milon.madrasafree.com/guide.asp,https://dev-milon.madrasafree.com/guide.asp,screenshots/05_public_guide.png,
6,public,Clock,/clock.asp,anon,http://localhost:8081/clock.asp,200,http://localhost:8081/clock.asp,https://milon.madrasafree.com/clock.asp,https://dev-milon.madrasafree.com/clock.asp,screenshots/06_public_clock.png,
7,public,Stats,/stats.asp,anon,http://localhost:8081/stats.asp,200,http://localhost:8081/stats.asp,https://milon.madrasafree.com/stats.asp,https://dev-milon.madrasafree.com/stats.asp,screenshots/07_public_stats.png,
8,public,Labels,/labels.asp,anon,http://localhost:8081/labels.asp,200,http://localhost:8081/labels.asp,https://milon.madrasafree.com/labels.asp,https://dev-milon.madrasafree.com/labels.asp,screenshots/08_public_labels.png,
9,public,Label Detail,/label.asp?id=1,anon,http://localhost:8081/label.asp?id=1,200,http://localhost:8081/label.asp?id=1,https://milon.madrasafree.com/label.asp?id=1,https://dev-milon.madrasafree.com/label.asp?id=1,screenshots/09_public_label-detail.png,
10,public,Word Detail,/word.asp?id=2939,anon,http://localhost:8081/word.asp?id=2939,200,http://localhost:8081/word.asp?id=2939,https://milon.madrasafree.com/word.asp?id=2939,https://dev-milon.madrasafree.com/word.asp?id=2939,screenshots/10_public_word-detail.png,
11,public,Sentences,/sentences.asp,anon,http://localhost:8081/sentences.asp,200,http://localhost:8081/sentences.asp,https://milon.madrasafree.com/sentences.asp,https://dev-milon.madrasafree.com/sentences.asp,screenshots/11_public_sentences.png,
12,public,Sentence Detail,/sentence.asp?sID=109,anon,http://localhost:8081/sentence.asp?sID=109,200,http://localhost:8081/sentence.asp?sID=109,https://milon.madrasafree.com/sentence.asp?sID=109,https://dev-milon.madrasafree.com/sentence.asp?sID=109,screenshots/12_public_sentence-detail.png,
13,public,Lists Index,/lists.all.asp,anon,http://localhost:8081/lists.all.asp,200,http://localhost:8081/lists.all.asp,https://milon.madrasafree.com/lists.all.asp,https://dev-milon.madrasafree.com/lists.all.asp,screenshots/13_public_lists-index.png,
14,public,List Detail,/lists.asp?id=556,anon,http://localhost:8081/lists.asp?id=556,200,http://localhost:8081/lists.asp?id=556,https://milon.madrasafree.com/lists.asp?id=556,https://dev-milon.madrasafree.com/lists.asp?id=556,screenshots/14_public_list-detail.png,
15,public,List Audio,/list.audio.asp?id=556,anon,http://localhost:8081/list.audio.asp?id=556,200,http://localhost:8081/list.audio.asp?id=556,https://milon.madrasafree.com/list.audio.asp?id=556,https://dev-milon.madrasafree.com/list.audio.asp?id=556,screenshots/15_public_list-audio.png,
16,public,List Pics,/list.pics.asp?id=556,anon,http://localhost:8081/list.pics.asp?id=556,200,http://localhost:8081/list.pics.asp?id=556,https://milon.madrasafree.com/list.pics.asp?id=556,https://dev-milon.madrasafree.com/list.pics.asp?id=556,screenshots/16_public_list-pics.png,
17,public,List Vids,/list.vids.asp?id=556,anon,http://localhost:8081/list.vids.asp?id=556,200,http://localhost:8081/list.vids.asp?id=556,https://milon.madrasafree.com/list.vids.asp?id=556,https://dev-milon.madrasafree.com/list.vids.asp?id=556,screenshots/17_public_list-vids.png,
18,public,Games Memory,/games.mem.asp,anon,http://localhost:8081/games.mem.asp,200,http://localhost:8081/games.mem.asp,https://milon.madrasafree.com/games.mem.asp,https://dev-milon.madrasafree.com/games.mem.asp,screenshots/18_public_games-memory.png,
19,public,Games List,/games.mem.list.asp?LID=556,anon,http://localhost:8081/games.mem.list.asp?LID=556,200,http://localhost:8081/games.mem.list.asp?LID=556,https://milon.madrasafree.com/games.mem.list.asp?LID=556,https://dev-milon.madrasafree.com/games.mem.list.asp?LID=556,screenshots/19_public_games-list.png,
20,public,Games Pics,/games.mem.pics.asp?LID=556,anon,http://localhost:8081/games.mem.pics.asp?LID=556,200,http://localhost:8081/games.mem.pics.asp?LID=556,https://milon.madrasafree.com/games.mem.pics.asp?LID=556,https://dev-milon.madrasafree.com/games.mem.pics.asp?LID=556,screenshots/20_public_games-pics.png,
21,public,Activity,/activity.asp,anon,http://localhost:8081/activity.asp,200,http://localhost:8081/activity.asp,https://milon.madrasafree.com/activity.asp,https://dev-milon.madrasafree.com/activity.asp,screenshots/21_public_activity.png,
22,public,Welcome,/welcome.asp,anon,http://localhost:8081/welcome.asp,200,http://localhost:8081/welcome.asp,https://milon.madrasafree.com/welcome.asp,https://dev-milon.madrasafree.com/welcome.asp,screenshots/22_public_welcome.png,
23,public,Profile,/profile.asp?id=1,anon,http://localhost:8081/profile.asp?id=1,200,http://localhost:8081/profile.asp?id=1,https://milon.madrasafree.com/profile.asp?id=1,https://dev-milon.madrasafree.com/profile.asp?id=1,screenshots/23_public_profile.png,
24,public,Profile All Words,/profile.allwords.asp?id=1,anon,http://localhost:8081/profile.allwords.asp?id=1,200,http://localhost:8081/profile.allwords.asp?id=1,https://milon.madrasafree.com/profile.allwords.asp?id=1,https://dev-milon.madrasafree.com/profile.allwords.asp?id=1,screenshots/24_public_profile-all-words.png,
25,public,Login,/login.asp,anon,http://localhost:8081/login.asp,200,http://localhost:8081/login.asp,https://milon.madrasafree.com/login.asp,https://dev-milon.madrasafree.com/login.asp,screenshots/25_public_login.png,
26,public,Guide Team,/guideTeam.asp,anon,http://localhost:8081/guideTeam.asp,200,http://localhost:8081/guideTeam.asp,https://milon.madrasafree.com/guideTeam.asp,https://dev-milon.madrasafree.com/guideTeam.asp,screenshots/26_public_guide-team.png,
27,public,Dashboard Snapshot,/dashboard.asp,anon,http://localhost:8081/dashboard.asp,200,http://localhost:8081/dashboard.asp,https://milon.madrasafree.com/dashboard.asp,https://dev-milon.madrasafree.com/dashboard.asp,screenshots/27_public_dashboard-snapshot.png,
28,routes,Custom 404 1,/1.asp,anon,http://localhost:8081/1.asp,404,http://localhost:8081/1.asp,https://milon.madrasafree.com/1.asp,https://dev-milon.madrasafree.com/1.asp,screenshots/28_routes_custom-404-1.png,
29,routes,Custom 404 Missing,/does-not-exist.asp,anon,http://localhost:8081/does-not-exist.asp,404,http://localhost:8081/does-not-exist.asp,https://milon.madrasafree.com/does-not-exist.asp,https://dev-milon.madrasafree.com/does-not-exist.asp,screenshots/29_routes_custom-404-missing.png,
30,routes,Docs Blocked,/docs/,anon,http://localhost:8081/docs/,404,http://localhost:8081/docs/,https://milon.madrasafree.com/docs/,https://dev-milon.madrasafree.com/docs/,screenshots/30_routes_docs-blocked.png,
31,team,User Landing,/users.landingPage.asp,auth,http://localhost:8081/users.landingPage.asp,200,http://localhost:8081/users.landingPage.asp,https://milon.madrasafree.com/users.landingPage.asp,https://dev-milon.madrasafree.com/users.landingPage.asp,screenshots/31_team_user-landing.png,
32,team,Word New,/word.new.asp,auth,http://localhost:8081/word.new.asp,200,http://localhost:8081/word.new.asp,https://milon.madrasafree.com/word.new.asp,https://dev-milon.madrasafree.com/word.new.asp,screenshots/32_team_word-new.png,
33,team,Word Edit,/word.edit.asp?id=2939,auth,http://localhost:8081/word.edit.asp?id=2939,200,http://localhost:8081/word.edit.asp?id=2939,https://milon.madrasafree.com/word.edit.asp?id=2939,https://dev-milon.madrasafree.com/word.edit.asp?id=2939,screenshots/33_team_word-edit.png,
34,team,Word History,/word.history.asp?id=2939,auth,http://localhost:8081/word.history.asp?id=2939,200,http://localhost:8081/word.history.asp?id=2939,https://milon.madrasafree.com/word.history.asp?id=2939,https://dev-milon.madrasafree.com/word.history.asp?id=2939,screenshots/34_team_word-history.png,
35,team,Sentence New,/sentenceNew.asp,auth,http://localhost:8081/sentenceNew.asp,200,http://localhost:8081/sentenceNew.asp,https://milon.madrasafree.com/sentenceNew.asp,https://dev-milon.madrasafree.com/sentenceNew.asp,screenshots/35_team_sentence-new.png,
36,team,Sentence Edit,/sentenceEdit.asp?sID=109,auth,http://localhost:8081/sentenceEdit.asp?sID=109,200,http://localhost:8081/sentenceEdit.asp?sID=109,https://milon.madrasafree.com/sentenceEdit.asp?sID=109,https://dev-milon.madrasafree.com/sentenceEdit.asp?sID=109,screenshots/36_team_sentence-edit.png,
37,team,Lists New,/listsNew.asp,auth,http://localhost:8081/listsNew.asp,200,http://localhost:8081/listsNew.asp,https://milon.madrasafree.com/listsNew.asp,https://dev-milon.madrasafree.com/listsNew.asp,screenshots/37_team_lists-new.png,
38,team,Lists Edit,/listsEdit.asp?id=556,auth,http://localhost:8081/listsEdit.asp?id=556,200,http://localhost:8081/listsEdit.asp?id=556,https://milon.madrasafree.com/listsEdit.asp?id=556,https://dev-milon.madrasafree.com/listsEdit.asp?id=556,screenshots/38_team_lists-edit.png,
39,team,Dashboard,/dashboard.asp,auth,http://localhost:8081/dashboard.asp,200,http://localhost:8081/dashboard.asp,https://milon.madrasafree.com/dashboard.asp,https://dev-milon.madrasafree.com/dashboard.asp,screenshots/39_team_dashboard.png,
40,team,Dashboard Lists,/dashboard.lists.asp?listID=1,auth,http://localhost:8081/dashboard.lists.asp?listID=1,200,http://localhost:8081/dashboard.lists.asp?listID=1,https://milon.madrasafree.com/dashboard.lists.asp?listID=1,https://dev-milon.madrasafree.com/dashboard.lists.asp?listID=1,screenshots/40_team_dashboard-lists.png,
41,team,Team Home,/team/default.asp,auth,http://localhost:8081/team/default.asp,200,http://localhost:8081/team/default.asp,https://milon.madrasafree.com/team/default.asp,https://dev-milon.madrasafree.com/team/default.asp,screenshots/41_team_team-home.png,
42,team,Team Media Control,/team/mediaControl.asp,auth,http://localhost:8081/team/mediaControl.asp,200,http://localhost:8081/team/mediaControl.asp,https://milon.madrasafree.com/team/mediaControl.asp,https://dev-milon.madrasafree.com/team/mediaControl.asp,screenshots/42_team_team-media-control.png,
43,team,Team Media New,/team/mediaNew.asp,auth,http://localhost:8081/team/mediaNew.asp,200,http://localhost:8081/team/mediaNew.asp,https://milon.madrasafree.com/team/mediaNew.asp,https://dev-milon.madrasafree.com/team/mediaNew.asp,screenshots/43_team_team-media-new.png,
44,team,Team Media Edit,/team/mediaEdit.asp?id=1283,auth,http://localhost:8081/team/mediaEdit.asp?id=1283,200,http://localhost:8081/team/mediaEdit.asp?id=1283,https://milon.madrasafree.com/team/mediaEdit.asp?id=1283,https://dev-milon.madrasafree.com/team/mediaEdit.asp?id=1283,screenshots/44_team_team-media-edit.png,
45,admin,Admin Root,/admin/,auth,http://localhost:8081/admin/,200,http://localhost:8081/admin/,https://milon.madrasafree.com/admin/,https://dev-milon.madrasafree.com/admin/,screenshots/45_admin_admin-root.png,
46,admin,Admin Index,/admin/index.asp,auth,http://localhost:8081/admin/index.asp,200,http://localhost:8081/admin/index.asp,https://milon.madrasafree.com/admin/index.asp,https://dev-milon.madrasafree.com/admin/index.asp,screenshots/46_admin_admin-index.png,
47,admin,Admin Default,/admin/default.asp,auth,http://localhost:8081/admin/default.asp,200,http://localhost:8081/admin/default.asp,https://milon.madrasafree.com/admin/default.asp,https://dev-milon.madrasafree.com/admin/default.asp,screenshots/47_admin_admin-default.png,
48,admin,Admin User Control,/admin/userControl.asp,auth,http://localhost:8081/admin/userControl.asp,500,http://localhost:8081/admin/userControl.asp,https://milon.madrasafree.com/admin/userControl.asp,https://dev-milon.madrasafree.com/admin/userControl.asp,screenshots/48_admin_admin-user-control.png,
49,admin,Admin User Control Full,/admin/userControl.full.asp,auth,http://localhost:8081/admin/userControl.full.asp,200,http://localhost:8081/admin/userControl.full.asp,https://milon.madrasafree.com/admin/userControl.full.asp,https://dev-milon.madrasafree.com/admin/userControl.full.asp,screenshots/49_admin_admin-user-control-full.png,
50,admin,Admin User New,/admin/userNew.asp,auth,http://localhost:8081/admin/userNew.asp,200,http://localhost:8081/admin/userNew.asp,https://milon.madrasafree.com/admin/userNew.asp,https://dev-milon.madrasafree.com/admin/userNew.asp,screenshots/50_admin_admin-user-new.png,
51,admin,Admin User Edit,/admin/userEdit.asp?id=1,auth,http://localhost:8081/admin/userEdit.asp?id=1,200,http://localhost:8081/admin/userEdit.asp?id=1,https://milon.madrasafree.com/admin/userEdit.asp?id=1,https://dev-milon.madrasafree.com/admin/userEdit.asp?id=1,screenshots/51_admin_admin-user-edit.png,
52,admin,Admin Label Control,/admin/labelControl.asp,auth,http://localhost:8081/admin/labelControl.asp,200,http://localhost:8081/admin/labelControl.asp,https://milon.madrasafree.com/admin/labelControl.asp,https://dev-milon.madrasafree.com/admin/labelControl.asp,screenshots/52_admin_admin-label-control.png,
53,admin,Admin Words Short,/admin/wordsShort.asp,auth,http://localhost:8081/admin/wordsShort.asp,200,http://localhost:8081/admin/wordsShort.asp,https://milon.madrasafree.com/admin/wordsShort.asp,https://dev-milon.madrasafree.com/admin/wordsShort.asp,screenshots/53_admin_admin-words-short.png,
54,admin,Admin Locked,/admin/locked.asp,auth,http://localhost:8081/admin/locked.asp,200,http://localhost:8081/admin/locked.asp,https://milon.madrasafree.com/admin/locked.asp,https://dev-milon.madrasafree.com/admin/locked.asp,screenshots/54_admin_admin-locked.png,
55,admin,Legacy Admin Redirect,/admin.asp,auth,http://localhost:8081/admin.asp,200,http://localhost:8081/admin/default.asp,https://milon.madrasafree.com/admin.asp,https://dev-milon.madrasafree.com/admin.asp,screenshots/55_admin_legacy-admin-redirect.png,
56,public,JSON Endpoint,"/json.asp?relData=1,abc",anon,"http://localhost:8081/json.asp?relData=1,abc",200,"http://localhost:8081/json.asp?relData=1,abc","https://milon.madrasafree.com/json.asp?relData=1,abc","https://dev-milon.madrasafree.com/json.asp?relData=1,abc",screenshots/56_public_json-endpoint.png,
57,public,Lists All JSON,/lists.all.json.asp,anon,http://localhost:8081/lists.all.json.asp,200,http://localhost:8081/lists.all.json.asp,https://milon.madrasafree.com/lists.all.json.asp,https://dev-milon.madrasafree.com/lists.all.json.asp,screenshots/57_public_lists-all-json.png,
58,team,Team Login Redirect,/team/login.asp,anon,http://localhost:8081/team/login.asp,200,http://localhost:8081/login.asp?returnTo=,https://milon.madrasafree.com/team/login.asp,https://dev-milon.madrasafree.com/team/login.asp,screenshots/58_team_team-login-redirect.png,
59,team,Guide Embed,/team/guide.embed.asp,anon,http://localhost:8081/team/guide.embed.asp,500,http://localhost:8081/team/guide.embed.asp,https://milon.madrasafree.com/team/guide.embed.asp,https://dev-milon.madrasafree.com/team/guide.embed.asp,screenshots/59_team_guide-embed.png,
60,team,Guide Embed Nikud,/team/guide.embed.nikud.asp,anon,http://localhost:8081/team/guide.embed.nikud.asp,200,http://localhost:8081/team/guide.embed.nikud.asp,https://milon.madrasafree.com/team/guide.embed.nikud.asp,https://dev-milon.madrasafree.com/team/guide.embed.nikud.asp,screenshots/60_team_guide-embed-nikud.png,
61,admin,Legacy Admin LabelControl Redirect,/admin.labelControl.asp,auth,http://localhost:8081/admin.labelControl.asp,200,http://localhost:8081/admin/labelControl.asp,https://milon.madrasafree.com/admin.labelControl.asp,https://dev-milon.madrasafree.com/admin.labelControl.asp,screenshots/61_admin_legacy-admin-labelcontrol-redirect.png,
62,admin,Legacy Admin Locked Redirect,/admin.locked.asp,auth,http://localhost:8081/admin.locked.asp,200,http://localhost:8081/admin/locked.asp,https://milon.madrasafree.com/admin.locked.asp,https://dev-milon.madrasafree.com/admin.locked.asp,screenshots/62_admin_legacy-admin-locked-redirect.png,
63,admin,Legacy Admin UserControl Redirect,/admin.userControl.asp,auth,http://localhost:8081/admin.userControl.asp,500,http://localhost:8081/admin/userControl.asp,https://milon.madrasafree.com/admin.userControl.asp,https://dev-milon.madrasafree.com/admin.userControl.asp,screenshots/63_admin_legacy-admin-usercontrol-redirect.png,
64,admin,Legacy Admin UserControlFull Redirect,/admin.userControl.full.asp,auth,http://localhost:8081/admin.userControl.full.asp,200,http://localhost:8081/admin/userControl.full.asp,https://milon.madrasafree.com/admin.userControl.full.asp,https://dev-milon.madrasafree.com/admin.userControl.full.asp,screenshots/64_admin_legacy-admin-usercontrolfull-redirect.png,
65,admin,Legacy Admin UserEdit Redirect,/admin.userEdit.asp?id=1,auth,http://localhost:8081/admin.userEdit.asp?id=1,200,http://localhost:8081/admin/userEdit.asp?id=1,https://milon.madrasafree.com/admin.userEdit.asp?id=1,https://dev-milon.madrasafree.com/admin.userEdit.asp?id=1,screenshots/65_admin_legacy-admin-useredit-redirect.png,
66,admin,Legacy Admin UserNew Redirect,/admin.userNew.asp,auth,http://localhost:8081/admin.userNew.asp,200,http://localhost:8081/admin/userNew.asp,https://milon.madrasafree.com/admin.userNew.asp,https://dev-milon.madrasafree.com/admin.userNew.asp,screenshots/66_admin_legacy-admin-usernew-redirect.png,
67,admin,Legacy Admin WordsShort Redirect,/admin.wordsShort.asp,auth,http://localhost:8081/admin.wordsShort.asp,200,http://localhost:8081/admin/wordsShort.asp,https://milon.madrasafree.com/admin.wordsShort.asp,https://dev-milon.madrasafree.com/admin.wordsShort.asp,screenshots/67_admin_legacy-admin-wordsshort-redirect.png,
